"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights",Tags,Photos,Notes
"Dokument 53","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0118.jpg",""
"Dokument 54","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0119.jpg",""
"Dokument 55","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0120.jpg",""
"Dokument 56","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0121.jpg",""
"Dokument 57","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0122.jpg;0123.jpg",""
"Dokument 58","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0124.jpg",""
"Dokument 59","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0125.jpg",""
"Dokument 60","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0126.jpg",""
"Dokument 61","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0127.jpg",""
"Dokument 62","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0128.jpg;0129.jpg",""
"Dokument 63","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0130.jpg",""
"Dokument 64","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0131.jpg",""
"Dokument 65","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0132.jpg",""
"Dokument 66","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0133.jpg;0134.jpg;0135.jpg",""
